,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
68,3,QuadraticDiscriminantAnalysis,0.921,0.709,0.677,0.919,0.709,0.921,0.691,0.919
69,3,RandomForestClassifier,0.977,0.7,0.734,0.971,0.7,0.977,0.713,0.973
70,3,RidgeClassifier,0.943,0.593,0.595,0.916,0.593,0.943,0.593,0.928
71,3,RidgeClassifierCV,0.943,0.593,0.595,0.916,0.593,0.943,0.593,0.928
72,3,SGDClassifier,0.975,0.714,0.732,0.971,0.714,0.975,0.722,0.973
73,3,SVC,0.974,0.755,0.855,0.973,0.755,0.974,0.779,0.972
74,3,LGBMClassifier,0.994,0.826,0.843,0.993,0.826,0.994,0.833,0.993
75,4,AdaBoostClassifier,0.643,0.36,0.299,0.496,0.36,0.643,0.302,0.526
76,4,BaggingClassifier,0.996,0.866,0.809,0.994,0.866,0.996,0.827,0.995
77,4,BernoulliNB,0.797,0.545,0.523,0.824,0.545,0.797,0.532,0.808
78,4,CalibratedClassifierCV,0.992,0.867,0.808,0.991,0.867,0.992,0.827,0.992
79,4,DecisionTreeClassifier,0.996,0.809,0.869,0.996,0.809,0.996,0.829,0.995
80,4,DummyClassifier,0.401,0.125,0.05,0.161,0.125,0.401,0.072,0.229
81,4,ExtraTreeClassifier,0.898,0.634,0.639,0.898,0.634,0.898,0.636,0.898
82,4,ExtraTreesClassifier,0.983,0.707,0.739,0.981,0.707,0.983,0.721,0.982
83,4,GaussianNB,0.928,0.949,0.726,0.945,0.949,0.928,0.763,0.935
84,4,KNeighborsClassifier,0.854,0.555,0.665,0.854,0.555,0.854,0.586,0.848
85,4,LabelPropagation,0.359,0.225,0.584,0.746,0.225,0.359,0.222,0.326
86,4,LabelSpreading,0.359,0.225,0.584,0.746,0.225,0.359,0.222,0.326
87,4,LinearDiscriminantAnalysis,0.979,0.955,0.873,0.983,0.955,0.979,0.864,0.98
88,4,LinearSVC,0.994,0.807,0.871,0.994,0.807,0.994,0.829,0.994
89,4,LogisticRegression,0.994,0.776,0.87,0.994,0.776,0.994,0.794,0.994
90,4,NearestCentroid,0.693,0.725,0.556,0.812,0.725,0.693,0.533,0.736
91,4,PassiveAggressiveClassifier,0.985,0.751,0.8,0.984,0.751,0.985,0.77,0.984
92,4,Perceptron,0.985,0.767,0.783,0.985,0.767,0.985,0.774,0.985
93,4,QuadraticDiscriminantAnalysis,0.916,0.697,0.655,0.919,0.697,0.916,0.672,0.917
94,4,RandomForestClassifier,0.975,0.68,0.732,0.974,0.68,0.975,0.697,0.973
95,4,RidgeClassifier,0.944,0.593,0.598,0.92,0.593,0.944,0.594,0.931
96,4,RidgeClassifierCV,0.944,0.593,0.598,0.92,0.593,0.944,0.594,0.931
97,4,SGDClassifier,0.98,0.705,0.738,0.979,0.705,0.98,0.72,0.979
98,4,SVC,0.973,0.724,0.729,0.971,0.724,0.973,0.726,0.972
99,4,LGBMClassifier,0.994,0.803,0.807,0.993,0.803,0.994,0.805,0.993
100,5,AdaBoostClassifier,0.641,0.369,0.253,0.427,0.369,0.641,0.299,0.509
101,5,BaggingClassifier,0.996,0.917,0.992,0.996,0.917,0.996,0.944,0.996
102,5,BernoulliNB,0.803,0.699,0.559,0.831,0.699,0.803,0.594,0.813
103,5,CalibratedClassifierCV,0.988,0.841,0.842,0.988,0.841,0.988,0.841,0.988
104,5,DecisionTreeClassifier,0.992,0.9,0.901,0.993,0.9,0.992,0.897,0.992
105,5,DummyClassifier,0.417,0.125,0.052,0.174,0.125,0.417,0.074,0.246
106,5,ExtraTreeClassifier,0.916,0.721,0.721,0.916,0.721,0.916,0.718,0.916
107,5,ExtraTreesClassifier,0.986,0.847,0.99,0.987,0.847,0.986,0.899,0.986
108,5,GaussianNB,0.926,0.916,0.713,0.948,0.916,0.926,0.747,0.935
109,5,KNeighborsClassifier,0.857,0.57,0.673,0.855,0.57,0.857,0.598,0.848
110,5,LabelPropagation,0.362,0.269,0.735,0.728,0.269,0.362,0.275,0.323
111,5,LabelSpreading,0.362,0.269,0.735,0.728,0.269,0.362,0.275,0.323
112,5,LinearDiscriminantAnalysis,0.979,0.975,0.914,0.983,0.975,0.979,0.93,0.98
113,5,LinearSVC,0.992,0.969,0.991,0.992,0.969,0.992,0.979,0.991
114,5,LogisticRegression,0.993,0.881,0.989,0.993,0.881,0.993,0.918,0.992
115,5,NearestCentroid,0.687,0.737,0.558,0.816,0.737,0.687,0.535,0.733
116,5,PassiveAggressiveClassifier,0.981,0.736,0.849,0.981,0.736,0.981,0.746,0.98
117,5,Perceptron,0.979,0.92,0.965,0.98,0.92,0.979,0.931,0.979
118,5,QuadraticDiscriminantAnalysis,0.93,0.71,0.675,0.928,0.71,0.93,0.69,0.928
119,5,RandomForestClassifier,0.977,0.727,0.851,0.977,0.727,0.977,0.76,0.975
120,5,RidgeClassifier,0.942,0.599,0.596,0.914,0.599,0.942,0.597,0.926
121,5,RidgeClassifierCV,0.942,0.599,0.596,0.914,0.599,0.942,0.597,0.926
122,5,SGDClassifier,0.975,0.708,0.73,0.97,0.708,0.975,0.718,0.972
123,5,SVC,0.979,0.792,0.853,0.979,0.792,0.979,0.812,0.979
124,5,LGBMClassifier,0.294,0.148,0.281,0.449,0.148,0.294,0.121,0.263
125,6,AdaBoostClassifier,0.64,0.366,0.285,0.464,0.366,0.64,0.302,0.518
126,6,BaggingClassifier,0.996,0.955,0.99,0.996,0.955,0.996,0.968,0.996
127,6,BernoulliNB,0.802,0.761,0.555,0.828,0.761,0.802,0.593,0.811
128,6,CalibratedClassifierCV,0.989,0.815,0.851,0.989,0.815,0.989,0.831,0.989
129,6,DecisionTreeClassifier,0.994,0.814,0.85,0.994,0.814,0.994,0.829,0.994
130,6,DummyClassifier,0.406,0.125,0.051,0.165,0.125,0.406,0.072,0.235
131,6,ExtraTreeClassifier,0.918,0.677,0.681,0.92,0.677,0.918,0.678,0.919
132,6,ExtraTreesClassifier,0.982,0.757,0.865,0.982,0.757,0.982,0.794,0.981
133,6,GaussianNB,0.918,0.922,0.714,0.936,0.922,0.918,0.739,0.925
134,6,KNeighborsClassifier,0.853,0.56,0.647,0.847,0.56,0.853,0.584,0.845
135,6,LabelPropagation,0.369,0.212,0.556,0.717,0.212,0.369,0.201,0.328
136,6,LabelSpreading,0.369,0.212,0.556,0.717,0.212,0.369,0.201,0.328
137,6,LinearDiscriminantAnalysis,0.983,0.986,0.939,0.984,0.986,0.983,0.956,0.983
