,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
68,3,QuadraticDiscriminantAnalysis,0.289,0.427,0.47,0.705,0.427,0.289,0.264,0.262
69,3,RandomForestClassifier,0.988,0.772,0.84,0.986,0.772,0.988,0.795,0.986
70,3,RidgeClassifier,0.947,0.591,0.596,0.92,0.591,0.947,0.592,0.932
71,3,RidgeClassifierCV,0.947,0.591,0.596,0.92,0.591,0.947,0.592,0.932
72,3,SGDClassifier,0.979,0.731,0.734,0.974,0.731,0.979,0.732,0.976
73,3,SVC,0.973,0.776,0.856,0.972,0.776,0.973,0.803,0.972
74,3,LGBMClassifier,0.996,0.896,0.982,0.996,0.896,0.996,0.928,0.995
75,4,AdaBoostClassifier,0.646,0.368,0.281,0.47,0.368,0.646,0.288,0.519
76,4,BaggingClassifier,0.998,0.9,0.936,0.998,0.9,0.998,0.879,0.997
77,4,BernoulliNB,0.834,0.696,0.651,0.857,0.696,0.834,0.605,0.841
78,4,CalibratedClassifierCV,0.994,0.775,0.871,0.993,0.775,0.994,0.795,0.993
79,4,DecisionTreeClassifier,0.997,0.936,0.914,0.998,0.936,0.997,0.894,0.997
80,4,DummyClassifier,0.401,0.125,0.05,0.161,0.125,0.401,0.072,0.229
81,4,ExtraTreeClassifier,0.93,0.793,0.693,0.931,0.793,0.93,0.7,0.93
82,4,ExtraTreesClassifier,0.986,0.717,0.742,0.984,0.717,0.986,0.728,0.985
83,4,GaussianNB,0.397,0.471,0.487,0.882,0.471,0.397,0.166,0.387
84,4,KNeighborsClassifier,0.915,0.647,0.699,0.914,0.647,0.915,0.669,0.913
85,4,LabelPropagation,0.87,0.646,0.792,0.875,0.646,0.87,0.686,0.868
86,4,LabelSpreading,0.87,0.646,0.792,0.875,0.646,0.87,0.686,0.868
87,4,LinearDiscriminantAnalysis,0.987,0.959,0.872,0.991,0.959,0.987,0.866,0.988
88,4,LinearSVC,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997
89,4,LogisticRegression,0.996,0.905,0.934,0.997,0.905,0.996,0.881,0.996
90,4,NearestCentroid,0.84,0.854,0.636,0.911,0.854,0.84,0.637,0.87
91,4,PassiveAggressiveClassifier,0.98,0.848,0.791,0.979,0.848,0.98,0.808,0.979
92,4,Perceptron,0.988,0.892,0.926,0.989,0.892,0.988,0.87,0.988
93,4,QuadraticDiscriminantAnalysis,0.286,0.422,0.544,0.71,0.422,0.286,0.268,0.268
94,4,RandomForestClassifier,0.985,0.833,0.858,0.983,0.833,0.985,0.842,0.983
95,4,RidgeClassifier,0.944,0.595,0.599,0.921,0.595,0.944,0.596,0.931
96,4,RidgeClassifierCV,0.944,0.595,0.599,0.921,0.595,0.944,0.596,0.931
97,4,SGDClassifier,0.987,0.851,0.802,0.986,0.851,0.987,0.816,0.986
98,4,SVC,0.978,0.85,0.799,0.977,0.85,0.978,0.814,0.978
99,4,LGBMClassifier,0.994,0.928,0.914,0.994,0.928,0.994,0.919,0.994
100,5,AdaBoostClassifier,0.64,0.367,0.294,0.502,0.367,0.64,0.299,0.511
101,5,BaggingClassifier,0.996,0.913,0.993,0.996,0.913,0.996,0.942,0.996
102,5,BernoulliNB,0.826,0.603,0.635,0.846,0.603,0.826,0.605,0.832
103,5,CalibratedClassifierCV,0.99,0.814,0.868,0.989,0.814,0.99,0.835,0.989
104,5,DecisionTreeClassifier,0.996,0.982,0.979,0.996,0.982,0.996,0.98,0.996
105,5,DummyClassifier,0.417,0.125,0.052,0.174,0.125,0.417,0.074,0.246
106,5,ExtraTreeClassifier,0.916,0.827,0.841,0.916,0.827,0.916,0.833,0.916
107,5,ExtraTreesClassifier,0.988,0.826,0.866,0.987,0.826,0.988,0.844,0.987
108,5,GaussianNB,0.412,0.448,0.498,0.907,0.448,0.412,0.164,0.407
109,5,KNeighborsClassifier,0.91,0.631,0.684,0.906,0.631,0.91,0.65,0.906
110,5,LabelPropagation,0.867,0.646,0.755,0.872,0.646,0.867,0.683,0.866
111,5,LabelSpreading,0.868,0.646,0.756,0.873,0.646,0.868,0.683,0.866
112,5,LinearDiscriminantAnalysis,0.987,0.98,0.918,0.991,0.98,0.987,0.934,0.989
113,5,LinearSVC,0.995,0.908,0.992,0.995,0.908,0.995,0.938,0.995
114,5,LogisticRegression,0.994,0.856,0.866,0.994,0.856,0.994,0.861,0.994
115,5,NearestCentroid,0.852,0.868,0.654,0.912,0.868,0.852,0.663,0.877
116,5,PassiveAggressiveClassifier,0.982,0.754,0.844,0.982,0.754,0.982,0.766,0.981
117,5,Perceptron,0.984,0.884,0.962,0.984,0.884,0.984,0.911,0.984
118,5,QuadraticDiscriminantAnalysis,0.362,0.482,0.579,0.846,0.482,0.362,0.345,0.392
119,5,RandomForestClassifier,0.985,0.79,0.859,0.984,0.79,0.985,0.817,0.983
120,5,RidgeClassifier,0.946,0.604,0.597,0.918,0.604,0.946,0.6,0.931
121,5,RidgeClassifierCV,0.946,0.604,0.597,0.918,0.604,0.946,0.6,0.931
122,5,SGDClassifier,0.98,0.723,0.735,0.976,0.723,0.98,0.729,0.978
123,5,SVC,0.981,0.803,0.862,0.98,0.803,0.981,0.829,0.98
124,5,LGBMClassifier,0.997,0.931,0.978,0.997,0.931,0.997,0.943,0.997
125,6,AdaBoostClassifier,0.64,0.364,0.287,0.471,0.364,0.64,0.301,0.519
126,6,BaggingClassifier,0.998,0.978,0.994,0.998,0.978,0.998,0.985,0.998
127,6,BernoulliNB,0.824,0.625,0.665,0.843,0.625,0.824,0.628,0.829
128,6,CalibratedClassifierCV,0.989,0.779,0.864,0.989,0.779,0.989,0.806,0.988
129,6,DecisionTreeClassifier,0.994,0.97,0.97,0.994,0.97,0.994,0.97,0.994
130,6,DummyClassifier,0.406,0.125,0.051,0.165,0.125,0.406,0.072,0.235
131,6,ExtraTreeClassifier,0.912,0.8,0.74,0.912,0.8,0.912,0.758,0.912
132,6,ExtraTreesClassifier,0.987,0.796,0.853,0.987,0.796,0.987,0.821,0.987
133,6,GaussianNB,0.361,0.464,0.417,0.791,0.464,0.361,0.158,0.372
134,6,KNeighborsClassifier,0.91,0.636,0.819,0.91,0.636,0.91,0.672,0.907
135,6,LabelPropagation,0.858,0.616,0.728,0.862,0.616,0.858,0.649,0.856
136,6,LabelSpreading,0.858,0.616,0.728,0.862,0.616,0.858,0.649,0.856
137,6,LinearDiscriminantAnalysis,0.989,0.993,0.94,0.991,0.993,0.989,0.959,0.99
138,6,LinearSVC,0.992,0.931,0.986,0.992,0.931,0.992,0.952,0.991
139,6,LogisticRegression,0.996,0.969,0.982,0.996,0.969,0.996,0.975,0.996
140,6,NearestCentroid,0.84,0.865,0.637,0.903,0.865,0.84,0.643,0.865
141,6,PassiveAggressiveClassifier,0.983,0.854,0.747,0.98,0.854,0.983,0.767,0.982
142,6,Perceptron,0.986,0.939,0.889,0.986,0.939,0.986,0.903,0.986
143,6,QuadraticDiscriminantAnalysis,0.309,0.412,0.455,0.814,0.412,0.309,0.24,0.299
144,6,RandomForestClassifier,0.987,0.749,0.837,0.986,0.749,0.987,0.779,0.985
145,6,RidgeClassifier,0.954,0.591,0.601,0.931,0.591,0.954,0.594,0.942
146,6,RidgeClassifierCV,0.954,0.591,0.601,0.931,0.591,0.954,0.594,0.942
147,6,SGDClassifier,0.981,0.715,0.738,0.976,0.715,0.981,0.726,0.979
148,6,SVC,0.975,0.804,0.838,0.976,0.804,0.975,0.82,0.975
149,6,LGBMClassifier,0.348,0.216,0.295,0.57,0.216,0.348,0.178,0.265
150,7,AdaBoostClassifier,0.64,0.411,0.241,0.429,0.36,0.64,0.287,0.51
151,7,BaggingClassifier,0.994,0.991,0.988,0.994,0.991,0.994,0.99,0.994
152,7,BernoulliNB,0.83,0.717,0.65,0.853,0.627,0.83,0.612,0.837
153,7,CalibratedClassifierCV,0.992,0.947,0.871,0.992,0.829,0.992,0.847,0.992
154,7,DecisionTreeClassifier,0.992,0.967,0.982,0.992,0.967,0.992,0.974,0.992
155,7,DummyClassifier,0.416,0.143,0.059,0.173,0.143,0.416,0.084,0.245
156,7,ExtraTreeClassifier,0.876,0.724,0.64,0.879,0.634,0.876,0.637,0.877
157,7,ExtraTreesClassifier,0.988,0.966,0.993,0.988,0.966,0.988,0.978,0.988
158,7,GaussianNB,0.058,0.284,0.435,0.805,0.249,0.058,0.043,0.023
159,7,KNeighborsClassifier,0.916,0.742,0.797,0.914,0.742,0.916,0.763,0.913
160,7,LabelPropagation,0.882,0.731,0.701,0.885,0.639,0.882,0.664,0.88
161,7,LabelSpreading,0.882,0.731,0.701,0.885,0.64,0.882,0.664,0.881
162,7,LinearDiscriminantAnalysis,0.981,0.978,0.893,0.985,0.978,0.981,0.915,0.982
163,7,LinearSVC,0.993,0.971,0.992,0.993,0.971,0.993,0.981,0.993
164,7,LogisticRegression,0.995,0.972,0.974,0.995,0.972,0.995,0.973,0.995
165,7,NearestCentroid,0.845,0.805,0.639,0.913,0.704,0.845,0.633,0.874
166,7,PassiveAggressiveClassifier,0.984,0.859,0.764,0.984,0.751,0.984,0.756,0.984
167,7,Perceptron,0.988,0.964,0.983,0.988,0.964,0.988,0.972,0.988
168,7,QuadraticDiscriminantAnalysis,0.312,0.461,0.433,0.794,0.403,0.312,0.238,0.309
169,7,RandomForestClassifier,0.987,0.935,0.987,0.987,0.935,0.987,0.957,0.987
170,7,RidgeClassifier,0.949,0.687,0.686,0.922,0.687,0.949,0.685,0.935
171,7,RidgeClassifierCV,0.95,0.688,0.686,0.923,0.688,0.95,0.686,0.935
172,7,SGDClassifier,0.982,0.822,0.738,0.981,0.719,0.982,0.728,0.981
173,7,SVC,0.977,0.936,0.959,0.977,0.936,0.977,0.947,0.977
174,7,LGBMClassifier,0.467,0.217,0.214,0.421,0.19,0.467,0.154,0.364
175,8,AdaBoostClassifier,0.675,0.499,0.471,0.537,0.499,0.675,0.43,0.576
176,8,BaggingClassifier,0.994,0.958,0.984,0.994,0.958,0.994,0.969,0.994
177,8,BernoulliNB,0.826,0.626,0.669,0.849,0.626,0.826,0.625,0.832
178,8,CalibratedClassifierCV,0.991,0.917,0.992,0.991,0.917,0.991,0.944,0.991
179,8,DecisionTreeClassifier,0.994,0.96,0.978,0.994,0.96,0.994,0.966,0.994
180,8,DummyClassifier,0.41,0.125,0.051,0.168,0.125,0.41,0.073,0.238
181,8,ExtraTreeClassifier,0.894,0.701,0.724,0.893,0.701,0.894,0.711,0.894
182,8,ExtraTreesClassifier,0.992,0.814,0.864,0.992,0.814,0.992,0.835,0.992
183,8,GaussianNB,0.381,0.459,0.447,0.816,0.459,0.381,0.161,0.387
184,8,KNeighborsClassifier,0.91,0.659,0.763,0.909,0.659,0.91,0.688,0.908
185,8,LabelPropagation,0.87,0.683,0.752,0.874,0.683,0.87,0.709,0.869
186,8,LabelSpreading,0.87,0.683,0.752,0.874,0.683,0.87,0.709,0.869
187,8,LinearDiscriminantAnalysis,0.989,0.994,0.946,0.99,0.994,0.989,0.964,0.989
188,8,LinearSVC,0.993,0.983,0.992,0.993,0.983,0.993,0.987,0.993
189,8,LogisticRegression,0.997,0.989,0.955,0.997,0.989,0.997,0.967,0.997
190,8,NearestCentroid,0.837,0.782,0.64,0.921,0.782,0.837,0.638,0.872
191,8,PassiveAggressiveClassifier,0.982,0.857,0.832,0.983,0.857,0.982,0.842,0.982
192,8,Perceptron,0.987,0.898,0.896,0.988,0.898,0.987,0.895,0.988
193,8,QuadraticDiscriminantAnalysis,0.383,0.423,0.42,0.796,0.423,0.383,0.259,0.418
194,8,RandomForestClassifier,0.99,0.841,0.988,0.99,0.841,0.99,0.892,0.989
195,8,RidgeClassifier,0.954,0.598,0.6,0.931,0.598,0.954,0.598,0.942
196,8,RidgeClassifierCV,0.954,0.598,0.6,0.931,0.598,0.954,0.598,0.942
197,8,SGDClassifier,0.98,0.728,0.738,0.975,0.728,0.98,0.733,0.978
198,8,SVC,0.982,0.854,0.863,0.982,0.854,0.982,0.858,0.982
199,8,LGBMClassifier,0.996,0.958,0.952,0.996,0.958,0.996,0.948,0.996
200,9,AdaBoostClassifier,0.274,0.408,0.474,0.76,0.408,0.274,0.281,0.258
201,9,BaggingClassifier,0.996,0.948,0.992,0.996,0.948,0.996,0.966,0.996
202,9,BernoulliNB,0.828,0.666,0.665,0.843,0.666,0.828,0.628,0.829
203,9,CalibratedClassifierCV,0.992,0.815,0.869,0.99,0.815,0.992,0.836,0.991
204,9,DecisionTreeClassifier,0.993,0.896,0.953,0.993,0.896,0.993,0.9,0.993
205,9,DummyClassifier,0.411,0.125,0.051,0.169,0.125,0.411,0.073,0.24
206,9,ExtraTreeClassifier,0.925,0.725,0.754,0.924,0.725,0.925,0.736,0.924
207,9,ExtraTreesClassifier,0.99,0.851,0.867,0.989,0.851,0.99,0.859,0.99
208,9,GaussianNB,0.038,0.31,0.433,0.766,0.31,0.038,0.108,0.032
209,9,KNeighborsClassifier,0.909,0.657,0.804,0.907,0.657,0.909,0.694,0.907
210,9,LabelPropagation,0.872,0.665,0.721,0.875,0.665,0.872,0.688,0.871
211,9,LabelSpreading,0.872,0.665,0.721,0.875,0.665,0.872,0.688,0.87
212,9,LinearDiscriminantAnalysis,0.987,0.987,0.907,0.991,0.987,0.987,0.922,0.989
213,9,LinearSVC,0.994,0.9,0.953,0.994,0.9,0.994,0.92,0.994
214,9,LogisticRegression,0.997,0.846,0.871,0.996,0.846,0.997,0.857,0.996
215,9,NearestCentroid,0.843,0.836,0.642,0.906,0.836,0.843,0.648,0.868
216,9,PassiveAggressiveClassifier,0.984,0.78,0.855,0.983,0.78,0.984,0.801,0.983
217,9,Perceptron,0.986,0.855,0.898,0.987,0.855,0.986,0.849,0.986
218,9,QuadraticDiscriminantAnalysis,0.474,0.45,0.472,0.863,0.45,0.474,0.302,0.517
219,9,RandomForestClassifier,0.989,0.814,0.866,0.988,0.814,0.989,0.837,0.988
220,9,RidgeClassifier,0.948,0.593,0.599,0.923,0.593,0.948,0.594,0.934
221,9,RidgeClassifierCV,0.948,0.591,0.599,0.922,0.591,0.948,0.593,0.934
222,9,SGDClassifier,0.98,0.71,0.738,0.978,0.71,0.98,0.723,0.979
223,9,SVC,0.983,0.821,0.824,0.983,0.821,0.983,0.821,0.983
224,9,LGBMClassifier,0.996,0.99,0.916,0.997,0.99,0.996,0.941,0.997
225,10,AdaBoostClassifier,0.648,0.366,0.377,0.655,0.366,0.648,0.298,0.52
226,10,BaggingClassifier,0.996,0.99,0.991,0.996,0.99,0.996,0.991,0.996
227,10,BernoulliNB,0.822,0.627,0.661,0.843,0.627,0.822,0.624,0.828
228,10,CalibratedClassifierCV,0.99,0.841,0.857,0.99,0.841,0.99,0.849,0.99
229,10,DecisionTreeClassifier,0.993,0.965,0.891,0.994,0.965,0.993,0.899,0.993
230,10,DummyClassifier,0.423,0.125,0.053,0.179,0.125,0.423,0.074,0.251
231,10,ExtraTreeClassifier,0.908,0.773,0.755,0.906,0.773,0.908,0.75,0.907
232,10,ExtraTreesClassifier,0.99,0.81,0.868,0.99,0.81,0.99,0.835,0.99
233,10,GaussianNB,0.444,0.502,0.445,0.799,0.502,0.444,0.179,0.42
234,10,KNeighborsClassifier,0.914,0.641,0.763,0.913,0.641,0.914,0.676,0.911
235,10,LabelPropagation,0.876,0.641,0.768,0.88,0.641,0.876,0.684,0.874
236,10,LabelSpreading,0.876,0.641,0.768,0.88,0.641,0.876,0.684,0.874
237,10,LinearDiscriminantAnalysis,0.986,0.988,0.927,0.989,0.988,0.986,0.946,0.987
238,10,LinearSVC,0.992,0.957,0.963,0.992,0.957,0.992,0.96,0.992
239,10,LogisticRegression,0.996,0.983,0.995,0.996,0.983,0.996,0.989,0.996
240,10,NearestCentroid,0.847,0.881,0.645,0.9,0.881,0.847,0.655,0.868
241,10,PassiveAggressiveClassifier,0.98,0.87,0.874,0.982,0.87,0.98,0.796,0.979
242,10,Perceptron,0.983,0.815,0.833,0.983,0.815,0.983,0.824,0.983
243,10,QuadraticDiscriminantAnalysis,0.397,0.43,0.463,0.866,0.43,0.397,0.275,0.439
244,10,RandomForestClassifier,0.987,0.774,0.866,0.987,0.774,0.987,0.808,0.986
245,10,RidgeClassifier,0.948,0.595,0.597,0.922,0.595,0.948,0.595,0.934
246,10,RidgeClassifierCV,0.948,0.595,0.597,0.922,0.595,0.948,0.595,0.934
247,10,SGDClassifier,0.979,0.711,0.732,0.975,0.711,0.979,0.721,0.977
248,10,SVC,0.981,0.797,0.864,0.981,0.797,0.981,0.824,0.981
249,10,LGBMClassifier,0.994,0.956,0.982,0.994,0.956,0.994,0.968,0.994
