,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
68,3,QuadraticDiscriminantAnalysis,0.891,0.702,0.674,0.901,0.702,0.891,0.686,0.891
69,3,RandomForestClassifier,0.983,0.723,0.736,0.978,0.723,0.983,0.728,0.98
70,3,RidgeClassifier,0.944,0.591,0.595,0.917,0.591,0.944,0.591,0.929
71,3,RidgeClassifierCV,0.944,0.591,0.595,0.917,0.591,0.944,0.591,0.929
72,3,SGDClassifier,0.972,0.711,0.728,0.967,0.711,0.972,0.719,0.969
73,3,SVC,0.975,0.774,0.852,0.974,0.774,0.975,0.795,0.974
74,3,LGBMClassifier,0.994,0.824,0.842,0.992,0.824,0.994,0.832,0.993
75,4,AdaBoostClassifier,0.645,0.368,0.238,0.438,0.368,0.645,0.286,0.518
76,4,BaggingClassifier,0.996,0.868,0.81,0.995,0.868,0.996,0.829,0.995
77,4,BernoulliNB,0.86,0.727,0.634,0.875,0.727,0.86,0.619,0.864
78,4,CalibratedClassifierCV,0.993,0.771,0.871,0.993,0.771,0.993,0.793,0.993
79,4,DecisionTreeClassifier,0.995,0.928,0.912,0.995,0.928,0.995,0.889,0.995
80,4,DummyClassifier,0.401,0.125,0.05,0.161,0.125,0.401,0.072,0.229
81,4,ExtraTreeClassifier,0.929,0.814,0.795,0.931,0.814,0.929,0.742,0.93
82,4,ExtraTreesClassifier,0.981,0.824,0.863,0.98,0.824,0.981,0.84,0.98
83,4,GaussianNB,0.933,0.957,0.739,0.95,0.957,0.933,0.775,0.94
84,4,KNeighborsClassifier,0.856,0.563,0.668,0.855,0.563,0.856,0.59,0.85
85,4,LabelPropagation,0.263,0.161,0.617,0.785,0.161,0.263,0.114,0.166
86,4,LabelSpreading,0.263,0.161,0.617,0.785,0.161,0.263,0.114,0.166
87,4,LinearDiscriminantAnalysis,0.982,0.955,0.873,0.986,0.955,0.982,0.865,0.983
88,4,LinearSVC,0.995,0.901,0.997,0.995,0.901,0.995,0.921,0.994
89,4,LogisticRegression,0.992,0.743,0.742,0.991,0.743,0.992,0.743,0.992
90,4,NearestCentroid,0.772,0.655,0.594,0.834,0.655,0.772,0.589,0.792
91,4,PassiveAggressiveClassifier,0.987,0.758,0.858,0.987,0.758,0.987,0.78,0.986
92,4,Perceptron,0.99,0.832,0.833,0.989,0.832,0.99,0.832,0.989
93,4,QuadraticDiscriminantAnalysis,0.91,0.7,0.669,0.917,0.7,0.91,0.682,0.91
94,4,RandomForestClassifier,0.981,0.817,0.862,0.979,0.817,0.981,0.834,0.979
95,4,RidgeClassifier,0.943,0.591,0.598,0.919,0.591,0.943,0.593,0.93
96,4,RidgeClassifierCV,0.943,0.591,0.598,0.919,0.591,0.943,0.593,0.93
97,4,SGDClassifier,0.984,0.713,0.734,0.982,0.713,0.984,0.723,0.983
98,4,SVC,0.978,0.713,0.73,0.976,0.713,0.978,0.721,0.977
