,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
68,3,QuadraticDiscriminantAnalysis,0.549,0.582,0.642,0.75,0.582,0.549,0.532,0.588
69,3,RandomForestClassifier,0.995,0.832,0.975,0.995,0.832,0.995,0.868,0.994
70,3,RidgeClassifier,0.946,0.595,0.596,0.919,0.595,0.946,0.594,0.932
71,3,RidgeClassifierCV,0.946,0.595,0.596,0.919,0.595,0.946,0.594,0.932
72,3,SGDClassifier,0.974,0.711,0.73,0.968,0.711,0.974,0.72,0.971
73,3,SVC,0.974,0.728,0.847,0.972,0.728,0.974,0.74,0.971
74,3,LGBMClassifier,0.996,0.889,0.981,0.996,0.889,0.996,0.922,0.996
75,4,AdaBoostClassifier,0.644,0.368,0.238,0.438,0.368,0.644,0.286,0.518
76,4,BaggingClassifier,0.997,0.902,0.935,0.997,0.902,0.997,0.88,0.996
77,4,BernoulliNB,0.891,0.67,0.805,0.917,0.67,0.891,0.703,0.896
78,4,CalibratedClassifierCV,0.993,0.775,0.869,0.993,0.775,0.993,0.794,0.993
79,4,DecisionTreeClassifier,0.996,0.932,0.93,0.996,0.932,0.996,0.91,0.995
80,4,DummyClassifier,0.401,0.125,0.05,0.161,0.125,0.401,0.072,0.229
81,4,ExtraTreeClassifier,0.966,0.825,0.748,0.965,0.825,0.966,0.766,0.965
82,4,ExtraTreesClassifier,0.995,0.924,0.991,0.995,0.924,0.995,0.947,0.995
83,4,GaussianNB,0.245,0.271,0.512,0.821,0.271,0.245,0.279,0.369
84,4,KNeighborsClassifier,0.822,0.497,0.657,0.829,0.497,0.822,0.523,0.812
85,4,LabelPropagation,0.74,0.493,0.695,0.788,0.493,0.74,0.538,0.742
86,4,LabelSpreading,0.74,0.493,0.695,0.788,0.493,0.74,0.538,0.742
87,4,LinearDiscriminantAnalysis,0.98,0.956,0.873,0.984,0.956,0.98,0.865,0.982
88,4,LinearSVC,0.996,0.965,0.994,0.996,0.965,0.996,0.977,0.996
89,4,LogisticRegression,0.995,0.776,0.865,0.995,0.776,0.995,0.792,0.995
