care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var
0.12141053224854374,0.0,0.0,0.0,0.0,-0.23177037698412695,0.0,0.0,0.0,0.0,0.5,0.0029481034681749355,0.01074350152947286
0.07028089887640449,0.03799019607843137,0.0,0.0,0.025625,-0.15504861111111112,-0.09480725806451612,0.0,0.0,0.03042682926829269,0.5,0.0008634168802805428,0.006081114804396809
0.11049723756906077,0.0,0.0,0.0,0.0,-0.059569999999999984,0.0,0.0,0.0,0.0,0.1111111111111111,0.0024419279020786917,0.0007097169799999998
0.0423728813559322,0.0,0.007417397167902898,0.0,0.0,-0.056604000000000015,0.0,0.18155000000000004,0.0,0.0,0.5,0.00033866612201352656,0.008260528683200005
0.0,0.03389830508474576,0.0,0.01903839948370442,0.023529411764705882,0.0,0.13489814814814813,0.0,0.020170621468926547,-0.022155555555555553,0.5,0.00022394389277438634,0.0038905121229462765
0.0,0.1906053683609366,0.0,0.0,0.0,0.0,-0.10705277777777775,0.0,0.0,0.0,0.2857142857142857,0.007266081289601669,0.002292059445987653
0.07120746207462075,0.0,0.07905274131640053,0.0,0.0,-0.1510503393665158,0.0,-0.004272420634920632,0.0,0.0,1.3333333333333333,0.0017010532050310188,0.00450235666148213
0.034278959810874705,0.057324840764331204,0.03794037940379404,0.0,0.0,0.03100459770114942,-0.09178395061728396,0.0021607142857142823,0.0,0.0,0.6,0.0006360794825972561,0.002175754599193467
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09105431309904154,0.0,0.0,0.024509803921568624,0.0,-0.2279956140350877,0.0,0.0,-0.033335000000000004,0.0,0.5,0.0015551513484153433,0.009858621069461369
0.02721088435374149,0.0,0.0049449314452685985,0.048387096774193554,0.0,0.14312083333333334,0.0,0.12103333333333337,0.03531111111111111,0.0,0.6,0.0004521908888478317,0.004610906190200618
0.0,0.06314948041566747,0.0,0.0,0.21212121212121213,0.0,0.010131223628691975,0.0,0.0,-0.42985714285714277,1.5,0.008457118668648594,0.037411458875771755
0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.011628571428571415,0.25,0.022222222222222223,2.7044734693877486e-05
0.0,0.050653594771241824,0.0563399387874125,0.0,0.0,0.0,-0.12640967741935483,0.12121619047619049,0.0,0.0,3.0,0.0008626130302862966,0.007666844229374917
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22282608695652173,0.0,0.0,0.0,0.0,0.5875585365853662,0.0,0.0,0.0,0.0,1.0,0.00993029300567108,0.06904500678286742
0.2469135802469136,0.0,0.0,0.0,0.0,-0.32467499999999994,0.0,0.0,0.0,0.0,0.3333333333333333,0.012193263222069806,0.021082771124999997
0.0,0.07598039215686274,0.06892778993435447,0.0,0.0,0.0,-0.18961451612903224,-0.08274523809523808,0.0,0.0,0.6666666666666666,0.0015810959925372185,0.006991118002515919
0.10869565217391304,0.0,0.0,0.0,0.059829059829059825,-0.26777666666666666,0.0,0.0,0.0,0.16516785714285714,1.0,0.0024285363726011294,0.024219762671473924
0.0,0.0,0.014834794335805796,0.0,0.0,0.0,0.0,0.3631000000000001,0.0,0.0,0.3333333333333333,4.4014224597131145e-05,0.026368322000000013
0.11216730038022814,0.0,0.0,0.0,0.0,0.0808050847457627,0.0,0.0,0.0,0.0,0.25,0.0025163006549176656,0.001305892344153979
0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,-0.08251428571428569,0.0,0.1,0.012500000000000002,0.0013617214693877543
0.0959409594095941,0.0,0.0,0.0,0.0,0.022169230769230767,0.0,0.0,0.0,0.0,0.14285714285714285,0.0018409335384866764,9.829495857988167e-05
0.0,0.0,0.007417397167902898,0.0,0.10606060606060606,0.0,0.0,0.18155000000000004,0.0,0.03610714285714285,0.6666666666666666,0.002182104623835896,0.006197300474489798
0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.05464,1.0,0.012500000000000002,0.00059710592
0.0,0.0,0.04106280193236715,0.06774193548387097,0.0,0.0,0.0,0.014047058823529421,0.004585714285714292,0.0,0.4,0.0009768573371986117,3.72281475884472e-05
0.0,0.12224108658743632,0.0,0.0,0.0,0.0,0.08823472222222223,0.0,0.0,0.0,0.25,0.0029885766500154206,0.0015570732411265434
0.0,0.13342991773117197,0.03282442748091603,0.0,0.0,0.0,-0.015800012254901956,0.05428662790697674,0.0,0.0,4.0,0.0033382211312043024,0.0007251086099738731
0.0531496062992126,0.0,0.0,0.03401522359657469,0.0,-0.08725185185185184,0.0,0.0,0.015824125874125877,0.0,0.4,0.0006155936429834912,0.0017107261508969654
0.1062992125984252,0.0,0.0,0.0,0.0,-0.1745037037037037,0.0,0.0,0.0,0.0,1.0,0.002259904519809039,0.006090308521262001
0.0986842105263158,0.0,0.0,0.11875,0.0,-0.38652,0.0,0.0,-0.0438421052631579,0.0,0.3333333333333333,0.003596152181440443,0.02856938306614958
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.17503059975520197,0.0,0.0,0.0,0.0,-0.5460833333333334,0.0,0.0,0.5,0.0061271421701331414,0.059641401388888904
